receiptNumber,totalAmount,paymentMethod,status,createdAt,customerId,cashierId,items.0.productId,items.0.batchNumber,items.0.quantity,items.0.price,items.0.costPrice,items.1.productId,items.1.batchNumber,items.1.quantity,items.1.price,items.1.costPrice,items.2.productId,items.2.batchNumber,items.2.quantity,items.2.price,items.2.costPrice,items.3.productId,items.3.batchNumber,items.3.quantity,items.3.price,items.3.costPrice,items.4.productId,items.4.batchNumber,items.4.quantity,items.4.price,items.4.costPrice
REC-20250503-1019,2550.62,Card,completed,2025-05-03T05:35:53.396Z,,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,1,393.63,314.9,b0d1cd9d707b5af19cb60063,B20265386,3,445.51,356.41,f322a3a4c783019c5537b1ee,B20269549,2,146.46,117.17,b1231e732af7ca155691bbb3,B20269855,2,145.01,116.01,350054cac45e5ae7b69aec04,B20264799,2,118.76,95.01
REC-20250503-1020,2890.20,Cash,completed,2025-05-03T05:22:36.396Z,69f6f37778e1596ba7c95e09,PLACEHOLDER_CASHIER_ID,b1231e732af7ca155691bbb3,B20269855,1,145.01,116.01,3172d058628bf662d0641c2e,B20266879,2,393.63,314.9,b1231e732af7ca155691bbb3,B20269855,1,145.01,116.01,dfdd772e3807e40a2a79cf0f,B20269881,3,195.94,156.75,bc5d8acde08251c8952b5bee,B20267418,2,612.55,490.04
REC-20250503-1021,986.94,Card,completed,2025-05-03T05:58:35.396Z,69f6f37778e1596ba7c95e16,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,2,445.51,356.41,046b2a17349c4ed0e71ab47e,B20265976,2,47.96,38.37,,,,,,,,,,,,,,,
REC-20250503-1022,2420.64,Card,completed,2025-05-03T06:52:04.396Z,69f6f37778e1596ba7c95e13,PLACEHOLDER_CASHIER_ID,3add7aa6255c2eab4709b169,B20264879,3,258.23,206.58,3fdbbe053491e0287ba3453d,B20267019,3,548.65,438.92,,,,,,,,,,,,,,,
REC-20250503-1023,2253.58,Card,completed,2025-05-03T10:37:26.396Z,,PLACEHOLDER_CASHIER_ID,8c56c3c61a39685b9ef06c10,B20267935,1,493.03,394.42,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,,,,,,,,,,,,,,,
REC-20250503-1024,1156.61,Card,completed,2025-05-03T10:31:56.396Z,69f6f37778e1596ba7c95e1d,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,1,393.63,314.9,a5aea1d2fcc913298e5c52c9,B20268734,2,381.49,305.19,,,,,,,,,,,,,,,
REC-20250503-1025,3181.15,Card,completed,2025-05-03T08:08:15.396Z,69f6f37778e1596ba7c95e16,PLACEHOLDER_CASHIER_ID,23fff3753ae81ad1a904efa6,B20266129,3,216.64,173.31,b0d1cd9d707b5af19cb60063,B20265386,2,445.51,356.41,6cc291406970c9cec14f1c23,B20262705,3,460.66,368.53,3add7aa6255c2eab4709b169,B20264879,1,258.23,206.58,,,,,
REC-20250503-1026,5772.97,Card,completed,2025-05-03T04:00:41.396Z,69f6f37778e1596ba7c95e01,PLACEHOLDER_CASHIER_ID,8c56c3c61a39685b9ef06c10,B20267935,3,493.03,394.42,7c073bfaf5706bbb95e4d430,B20264661,1,207.47,165.98,bc5d8acde08251c8952b5bee,B20267418,3,612.55,490.04,3fdbbe053491e0287ba3453d,B20267019,2,548.65,438.92,1e09581578adf6bdeb94eb77,B20267303,3,383.82,307.06
REC-20250503-1027,504.20,Card,completed,2025-05-03T12:55:32.396Z,69f6f37778e1596ba7c95e30,PLACEHOLDER_CASHIER_ID,971ee2fe9dde8e7b4668ebf1,B20269590,2,252.1,201.68,,,,,,,,,,,,,,,,,,,,
REC-20250503-1028,2401.73,Online,completed,2025-05-03T12:25:57.396Z,69f6f37778e1596ba7c95e25,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,3,445.51,356.41,046b2a17349c4ed0e71ab47e,B20265976,3,47.96,38.37,6cc291406970c9cec14f1c23,B20262705,2,460.66,368.53,,,,,,,,,,
REC-20250504-1029,298.65,Cash,completed,2025-05-04T04:15:14.396Z,,PLACEHOLDER_CASHIER_ID,9597f195fe9470313e8f380c,B20267181,3,99.55,79.64,,,,,,,,,,,,,,,,,,,,
REC-20250504-1030,1006.20,Cash,completed,2025-05-04T06:09:07.396Z,69f6f37778e1596ba7c95e0a,PLACEHOLDER_CASHIER_ID,350054cac45e5ae7b69aec04,B20264799,3,118.76,95.01,23fff3753ae81ad1a904efa6,B20266129,3,216.64,173.31,,,,,,,,,,,,,,,
REC-20250504-1031,1760.55,Online,completed,2025-05-04T02:46:48.396Z,,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,,,,,,,,,,,,,,,,,,,,
REC-20250504-1032,2317.35,Cash,completed,2025-05-04T08:51:54.396Z,69f6f37778e1596ba7c95e19,PLACEHOLDER_CASHIER_ID,bc5d8acde08251c8952b5bee,B20267418,2,612.55,490.04,971ee2fe9dde8e7b4668ebf1,B20269590,1,252.1,201.68,350054cac45e5ae7b69aec04,B20264799,3,118.76,95.01,78ca2a629b67bf68c56178a5,B20261111,3,161.29,129.03,,,,,
REC-20250504-1033,3824.44,Cash,completed,2025-05-04T04:13:01.396Z,69f6f37778e1596ba7c95e07,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,2,445.51,356.41,6cc291406970c9cec14f1c23,B20262705,3,460.66,368.53,dfdd772e3807e40a2a79cf0f,B20269881,3,195.94,156.75,82b588bca468babb2768aeab,B20264605,2,481.81,385.45,,,,,
REC-20250504-1034,3386.97,Card,completed,2025-05-04T06:54:38.396Z,69f6f37778e1596ba7c95e1a,PLACEHOLDER_CASHIER_ID,971ee2fe9dde8e7b4668ebf1,B20269590,3,252.1,201.68,0b1774a50351c54532cd7117,B20268107,3,618.66,494.93,3add7aa6255c2eab4709b169,B20264879,3,258.23,206.58,,,,,,,,,,
REC-20250504-1035,4075.12,Card,completed,2025-05-04T12:01:09.396Z,69f6f37778e1596ba7c95e01,PLACEHOLDER_CASHIER_ID,a5aea1d2fcc913298e5c52c9,B20268734,1,381.49,305.19,0b1774a50351c54532cd7117,B20268107,3,618.66,494.93,bc5d8acde08251c8952b5bee,B20267418,3,612.55,490.04,,,,,,,,,,
REC-20250504-1036,1498.61,Card,completed,2025-05-04T11:20:41.396Z,,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,a5aea1d2fcc913298e5c52c9,B20268734,2,381.49,305.19,046b2a17349c4ed0e71ab47e,B20265976,1,47.96,38.37,3eb562f9a356dd1f95c0b2e5,B20263687,1,242.16,193.73,,,,,
REC-20250504-1037,3422.37,Online,completed,2025-05-04T07:46:56.396Z,69f6f37778e1596ba7c95e10,PLACEHOLDER_CASHIER_ID,bc5d8acde08251c8952b5bee,B20267418,1,612.55,490.04,3172d058628bf662d0641c2e,B20266879,1,393.63,314.9,6cc291406970c9cec14f1c23,B20262705,1,460.66,368.53,9597f195fe9470313e8f380c,B20267181,1,99.55,79.64,0b1774a50351c54532cd7117,B20268107,3,618.66,494.93
REC-20250504-1038,2699.56,Card,completed,2025-05-04T06:40:36.396Z,69f6f37778e1596ba7c95e02,PLACEHOLDER_CASHIER_ID,6cc291406970c9cec14f1c23,B20262705,3,460.66,368.53,ce391e69d2542d345996de91,B20261947,2,586.85,469.48,046b2a17349c4ed0e71ab47e,B20265976,3,47.96,38.37,,,,,,,,,,
REC-20250504-1039,2655.77,Cash,completed,2025-05-04T15:16:38.396Z,69f6f37778e1596ba7c95e2f,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,1,393.63,314.9,b1231e732af7ca155691bbb3,B20269855,2,145.01,116.01,8c56c3c61a39685b9ef06c10,B20267935,1,493.03,394.42,8c56c3c61a39685b9ef06c10,B20267935,3,493.03,394.42,,,,,
REC-20250504-1040,1148.50,Online,completed,2025-05-04T03:41:09.396Z,69f6f37778e1596ba7c95e19,PLACEHOLDER_CASHIER_ID,b1231e732af7ca155691bbb3,B20269855,2,145.01,116.01,350054cac45e5ae7b69aec04,B20264799,3,118.76,95.01,3bdb46aea63e0ab2cb8ac91d,B20265200,2,251.1,200.88,,,,,,,,,,
REC-20250504-1041,737.52,Cash,completed,2025-05-04T11:55:30.396Z,,PLACEHOLDER_CASHIER_ID,7c073bfaf5706bbb95e4d430,B20264661,2,207.47,165.98,78ca2a629b67bf68c56178a5,B20261111,2,161.29,129.03,,,,,,,,,,,,,,,
REC-20250505-1042,636.72,Cash,completed,2025-05-05T13:05:27.396Z,69f6f37778e1596ba7c95e15,PLACEHOLDER_CASHIER_ID,efa172e8efce41614eff5f1c,B20267119,2,318.36,254.69,,,,,,,,,,,,,,,,,,,,
REC-20250505-1043,1738.35,Cash,completed,2025-05-05T14:48:44.396Z,69f6f37778e1596ba7c95e24,PLACEHOLDER_CASHIER_ID,f322a3a4c783019c5537b1ee,B20269549,2,146.46,117.17,82b588bca468babb2768aeab,B20264605,3,481.81,385.45,,,,,,,,,,,,,,,
REC-20250505-1044,341.13,Cash,completed,2025-05-05T12:51:41.396Z,,PLACEHOLDER_CASHIER_ID,0f4b531cbab441350914884a,B20261742,1,341.13,272.9,,,,,,,,,,,,,,,,,,,,
REC-20250505-1045,433.28,Online,completed,2025-05-05T02:34:25.396Z,69f6f37778e1596ba7c95e2a,PLACEHOLDER_CASHIER_ID,23fff3753ae81ad1a904efa6,B20266129,2,216.64,173.31,,,,,,,,,,,,,,,,,,,,
REC-20250505-1046,146.46,Cash,completed,2025-05-05T05:43:53.396Z,,PLACEHOLDER_CASHIER_ID,f322a3a4c783019c5537b1ee,B20269549,1,146.46,117.17,,,,,,,,,,,,,,,,,,,,
REC-20250505-1047,651.67,Online,completed,2025-05-05T14:13:07.396Z,69f6f37778e1596ba7c95e0c,PLACEHOLDER_CASHIER_ID,23fff3753ae81ad1a904efa6,B20266129,1,216.64,173.31,b1231e732af7ca155691bbb3,B20269855,3,145.01,116.01,,,,,,,,,,,,,,,
REC-20250505-1048,1076.48,Online,completed,2025-05-05T11:32:56.396Z,,PLACEHOLDER_CASHIER_ID,dfdd772e3807e40a2a79cf0f,B20269881,1,195.94,156.75,b1231e732af7ca155691bbb3,B20269855,3,145.01,116.01,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,,,,,,,,,,
REC-20250505-1049,1889.16,Cash,completed,2025-05-05T07:45:05.396Z,69f6f37778e1596ba7c95e27,PLACEHOLDER_CASHIER_ID,3add7aa6255c2eab4709b169,B20264879,1,258.23,206.58,78ca2a629b67bf68c56178a5,B20261111,3,161.29,129.03,9597f195fe9470313e8f380c,B20267181,1,99.55,79.64,6cc291406970c9cec14f1c23,B20262705,1,460.66,368.53,ce391e69d2542d345996de91,B20261947,1,586.85,469.48
REC-20250505-1050,3436.70,Cash,completed,2025-05-05T11:27:54.396Z,69f6f37778e1596ba7c95e28,PLACEHOLDER_CASHIER_ID,8c56c3c61a39685b9ef06c10,B20267935,2,493.03,394.42,6cc291406970c9cec14f1c23,B20262705,3,460.66,368.53,82b588bca468babb2768aeab,B20264605,1,481.81,385.45,ce391e69d2542d345996de91,B20261947,1,586.85,469.48,,,,,
REC-20250505-1051,3496.22,Cash,completed,2025-05-05T07:05:27.396Z,,PLACEHOLDER_CASHIER_ID,6cc291406970c9cec14f1c23,B20262705,2,460.66,368.53,b2dbc54852934d0377fe3034,B20266428,1,149.64,119.71,c3b86cd2b2a17e592eaf725d,B20261491,3,585.88,468.7,40195178dfb430c5b44a7e6a,B20265805,1,377.6,302.08,b1231e732af7ca155691bbb3,B20269855,2,145.01,116.01
REC-20250505-1052,4622.55,Online,completed,2025-05-05T07:55:34.396Z,,PLACEHOLDER_CASHIER_ID,0d9039ea6418a628e362dba3,B20263577,2,539.98,431.98,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,b0d1cd9d707b5af19cb60063,B20265386,3,445.51,356.41,,,,,
REC-20250505-1053,3363.51,Online,completed,2025-05-05T03:44:48.396Z,69f6f37778e1596ba7c95e1a,PLACEHOLDER_CASHIER_ID,046b2a17349c4ed0e71ab47e,B20265976,3,47.96,38.37,6cc291406970c9cec14f1c23,B20262705,3,460.66,368.53,bc5d8acde08251c8952b5bee,B20267418,3,612.55,490.04,,,,,,,,,,
REC-20250505-1054,2081.09,Online,completed,2025-05-05T06:57:47.396Z,69f6f37778e1596ba7c95e12,PLACEHOLDER_CASHIER_ID,85228637ddf9200979819e3c,B20268554,1,241.1,192.88,efa172e8efce41614eff5f1c,B20267119,3,318.36,254.69,dfdd772e3807e40a2a79cf0f,B20269881,2,195.94,156.75,8c56c3c61a39685b9ef06c10,B20267935,1,493.03,394.42,,,,,
REC-20250505-1055,3860.00,Online,completed,2025-05-05T05:21:17.396Z,69f6f37778e1596ba7c95e07,PLACEHOLDER_CASHIER_ID,0b1774a50351c54532cd7117,B20268107,2,618.66,494.93,bc5d8acde08251c8952b5bee,B20267418,2,612.55,490.04,1e09581578adf6bdeb94eb77,B20267303,2,383.82,307.06,e76120026776a5ce43c666b8,B20267762,2,314.97,251.98,,,,,
REC-20250505-1056,886.40,Card,completed,2025-05-05T07:30:41.396Z,,PLACEHOLDER_CASHIER_ID,350054cac45e5ae7b69aec04,B20264799,1,118.76,95.01,1e09581578adf6bdeb94eb77,B20267303,2,383.82,307.06,,,,,,,,,,,,,,,
REC-20250505-1057,1445.43,Card,completed,2025-05-05T12:20:45.396Z,,PLACEHOLDER_CASHIER_ID,82b588bca468babb2768aeab,B20264605,3,481.81,385.45,,,,,,,,,,,,,,,,,,,,
REC-20250505-1058,555.88,Cash,completed,2025-05-05T12:36:12.396Z,69f6f37778e1596ba7c95e1f,PLACEHOLDER_CASHIER_ID,efa172e8efce41614eff5f1c,B20267119,1,318.36,254.69,350054cac45e5ae7b69aec04,B20264799,2,118.76,95.01,,,,,,,,,,,,,,,
REC-20250505-1059,998.49,Cash,completed,2025-05-05T08:43:21.396Z,69f6f37778e1596ba7c95e2f,PLACEHOLDER_CASHIER_ID,b1231e732af7ca155691bbb3,B20269855,1,145.01,116.01,bc5d8acde08251c8952b5bee,B20267418,1,612.55,490.04,b1231e732af7ca155691bbb3,B20269855,1,145.01,116.01,046b2a17349c4ed0e71ab47e,B20265976,2,47.96,38.37,,,,,
REC-20250505-1060,1302.81,Card,completed,2025-05-05T07:08:59.396Z,69f6f37778e1596ba7c95e2b,PLACEHOLDER_CASHIER_ID,6cc291406970c9cec14f1c23,B20262705,2,460.66,368.53,a5aea1d2fcc913298e5c52c9,B20268734,1,381.49,305.19,,,,,,,,,,,,,,,
REC-20250505-1061,1694.69,Online,completed,2025-05-05T06:10:34.396Z,,PLACEHOLDER_CASHIER_ID,350054cac45e5ae7b69aec04,B20264799,1,118.76,95.01,9597f195fe9470313e8f380c,B20267181,2,99.55,79.64,3172d058628bf662d0641c2e,B20266879,3,393.63,314.9,dfdd772e3807e40a2a79cf0f,B20269881,1,195.94,156.75,,,,,
REC-20250505-1062,2651.57,Card,completed,2025-05-05T06:26:04.396Z,69f6f37778e1596ba7c95e11,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,3,586.85,469.48,b0d1cd9d707b5af19cb60063,B20265386,2,445.51,356.41,,,,,,,,,,,,,,,
REC-20250505-1063,1812.51,Card,completed,2025-05-05T07:58:10.396Z,,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,1,445.51,356.41,3172d058628bf662d0641c2e,B20266879,1,393.63,314.9,b1231e732af7ca155691bbb3,B20269855,3,145.01,116.01,f322a3a4c783019c5537b1ee,B20269549,1,146.46,117.17,dfdd772e3807e40a2a79cf0f,B20269881,2,195.94,156.75
REC-20250505-1064,1335.98,Cash,completed,2025-05-05T12:13:17.396Z,69f6f37778e1596ba7c95e28,PLACEHOLDER_CASHIER_ID,350054cac45e5ae7b69aec04,B20264799,3,118.76,95.01,dfdd772e3807e40a2a79cf0f,B20269881,2,195.94,156.75,dfdd772e3807e40a2a79cf0f,B20269881,3,195.94,156.75,,,,,,,,,,
REC-20250505-1065,3449.99,Card,completed,2025-05-05T07:52:10.396Z,69f6f37778e1596ba7c95e12,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,1,586.85,469.48,8c56c3c61a39685b9ef06c10,B20267935,2,493.03,394.42,b0d1cd9d707b5af19cb60063,B20265386,2,445.51,356.41,8c56c3c61a39685b9ef06c10,B20267935,2,493.03,394.42,,,,,
REC-20250505-1066,3006.40,Card,completed,2025-05-05T11:53:49.396Z,,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,2,393.63,314.9,bc5d8acde08251c8952b5bee,B20267418,3,612.55,490.04,a5aea1d2fcc913298e5c52c9,B20268734,1,381.49,305.19,,,,,,,,,,
REC-20250505-1067,1481.54,Cash,completed,2025-05-05T15:08:25.396Z,69f6f37778e1596ba7c95e28,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,3,445.51,356.41,b1231e732af7ca155691bbb3,B20269855,1,145.01,116.01,,,,,,,,,,,,,,,
REC-20250505-1068,161.29,Online,completed,2025-05-05T07:59:59.396Z,69f6f37778e1596ba7c95e0a,PLACEHOLDER_CASHIER_ID,78ca2a629b67bf68c56178a5,B20261111,1,161.29,129.03,,,,,,,,,,,,,,,,,,,,
REC-20250505-1069,1424.80,Online,completed,2025-05-05T07:19:59.396Z,69f6f37778e1596ba7c95dff,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,2,586.85,469.48,3bdb46aea63e0ab2cb8ac91d,B20265200,1,251.1,200.88,,,,,,,,,,,,,,,
REC-20250505-1070,1388.36,Cash,completed,2025-05-05T14:08:49.396Z,69f6f37778e1596ba7c95e2f,PLACEHOLDER_CASHIER_ID,7c073bfaf5706bbb95e4d430,B20264661,1,207.47,165.98,3172d058628bf662d0641c2e,B20266879,3,393.63,314.9,,,,,,,,,,,,,,,
REC-20250505-1071,1173.70,Card,completed,2025-05-05T11:15:40.396Z,69f6f37778e1596ba7c95e0b,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,2,586.85,469.48,,,,,,,,,,,,,,,,,,,,
REC-20250506-1072,2389.99,Online,completed,2025-05-06T15:23:12.396Z,,PLACEHOLDER_CASHIER_ID,ce391e69d2542d345996de91,B20261947,1,586.85,469.48,b2dbc54852934d0377fe3034,B20266428,3,149.64,119.71,a42b0bf5a343277b1818fc29,B20269522,3,435.42,348.34,046b2a17349c4ed0e71ab47e,B20265976,1,47.96,38.37,,,,,
REC-20250506-1073,891.02,Cash,completed,2025-05-06T06:15:06.396Z,69f6f37778e1596ba7c95e0e,PLACEHOLDER_CASHIER_ID,b0d1cd9d707b5af19cb60063,B20265386,2,445.51,356.41,,,,,,,,,,,,,,,,,,,,
REC-20250506-1074,118.76,Online,completed,2025-05-06T06:56:39.396Z,69f6f37778e1596ba7c95e17,PLACEHOLDER_CASHIER_ID,350054cac45e5ae7b69aec04,B20264799,1,118.76,95.01,,,,,,,,,,,,,,,,,,,,
REC-20250506-1075,1018.47,Card,completed,2025-05-06T07:25:33.396Z,69f6f37778e1596ba7c95e30,PLACEHOLDER_CASHIER_ID,b1231e732af7ca155691bbb3,B20269855,1,145.01,116.01,199c0805ce11886585b4af5a,B20262768,2,184.63,147.7,971ee2fe9dde8e7b4668ebf1,B20269590,2,252.1,201.68,,,,,,,,,,
REC-20250506-1076,921.32,Cash,completed,2025-05-06T05:04:14.396Z,,PLACEHOLDER_CASHIER_ID,6cc291406970c9cec14f1c23,B20262705,2,460.66,368.53,,,,,,,,,,,,,,,,,,,,
REC-20250506-1077,3473.37,Card,completed,2025-05-06T05:42:55.396Z,69f6f37778e1596ba7c95e24,PLACEHOLDER_CASHIER_ID,3172d058628bf662d0641c2e,B20266879,2,393.63,314.9,f322a3a4c783019c5537b1ee,B20269549,3,146.46,117.17,1e09581578adf6bdeb94eb77,B20267303,2,383.82,307.06,8c56c3c61a39685b9ef06c10,B20267935,3,493.03,394.42,,,,,
REC-20250506-1078,2160.23,Card,completed,2025-05-06T13:22:41.396Z,69f6f37778e1596ba7c95e24,PLACEHOLDER_CASHIER_ID,bc5d8acde08251c8952b5bee,B20267418,3,612.55,490.04,78ca2a629b67bf68c56178a5,B20261111,2,161.29,129.03,,,,,,,,,,,,,,,
REC-20250506-1079,1687.30,Cash,completed,2025-05-06T06:10:27.396Z,69f6f37778e1596ba7c95e11,PLACEHOLDER_CASHIER_ID,f322a3a4c783019c5537b1ee,B20269549,3,146.46,117.17,3172d058628bf662d0641c2e,B20266879,2,393.63,314.9,6cc291406970c9cec14f1c23,B20262705,1,460.66,368.53,,,,,,,,,,
